Data;Produto;Quantidade;Pre�o
23/04/2024;Cupcake (Sabores);3;R$ 18,00
24/04/2024;Bolo de Festa25 Pequeno Doce de Leite Coco;1;R$ 145,00
24/04/2024;Docinhos Cajuzinho Festa cento;1;R$ 80,00
24/04/2024;Kit5 Cupcake (Sabores);2;R$ 50,00
24/04/2024;Bolo de Festa100 Corte Chocolate;1;R$ 185,00
25/04/2024;Docinhos Gourmet Casadinho cento;1;R$ 90,00
25/04/2024;Bolo da Tarde Prestigio;2;R$ 40,00
25/04/2024;Bolo de Festa35 Medio Cajuzinho;1;R$ 160,00
29/04/2024;Docinhos Fondados Nozes cento;1;R$ 100,00
29/04/2024;Docinhos Cajuzinho de Festa cento;1;R$ 80,00
29/04/2024;Bolo de Festa35 Medio Ninho;1;R$ 160,00
30/04/2024;Docinhos Brigadeiro Festa cento;1;R$ 80,00
30/04/2024;Bolo da Tarde Cenoura;1;R$ 20,00
30/04/2024;Docinhos Gourmet Napolitano cento;1;R$ 90,00
01/05/2024;Bolo de Festa60 Medio Doce de Leite;1;R$ 165,00
01/05/2024;Bolo de Festa35 Medio Coco;1;R$ 160,00
02/05/2024;Docinhos Gourmet Coco queimado cento;1;R$ 90,00
03/05/2024;Cupcake (Sabores);3;R$ 18,00
06/05/2024;Bolo de Festa40 Corte  Doce de Leite Coco;1;R$ 140,00
06/05/2024;Bolo de Festa85 Corte Abacaxi Coco;1;R$ 165,00
06/05/2024;Bolo de Festa40 Corte  Amendoim;1;R$ 140,00
07/05/2024;Cupcake (Sabores);2;R$ 12,00
07/05/2024;Bolo de Festa85 Corte  Cajuzinho;1;R$ 165,00
07/05/2024;Torta Salgada Festa Grande;1;R$ 165,00
07/05/2024;Bolo de Festa60 Medio Doce de Leite Coco;1;R$ 165,00
08/05/2024;Docinhos Gourmet Brigadeiro Doce de leite cento;1;R$ 90,00
09/05/2024;Bolo de Festa40 Corte Ninho Chocolate;1;R$ 140,00
09/05/2024;Bolo de Festa15 Pequeno Chocolate;1;R$ 85,00
09/05/2024;Bolo de Festa60 Medio Ninho;1;R$ 165,00
09/05/2024;Docinhos Pacoca Festa cento;1;R$ 80,00
11/05/2024;Cupcake (Sabores);2;R$ 12,00
13/05/2024;Bolo de Festa60 Grande Ninho Chocolate;1;R$ 240,00
13/05/2024;Bolo de Festa40 Corte Abacaxi Coco;1;R$ 140,00
13/05/2024;Bolo de Festa60 Corte Gourmet (Sabores);1;R$ 165,00
14/05/2024;Docinhos Amendoim Festa cento;1;R$ 80,00
14/05/2024;Cupcake (Sabores);3;R$ 18,00
14/05/2024;Docinhos Gourmet Sensacao cento;1;R$ 90,00
14/05/2024;Docinhos Moranguinho Festa cento;1;R$ 80,00
15/05/2024;Cupcake (Sabores);2;R$ 12,00
15/05/2024;Bolo de Festa25 Pequeno Doce de Leite;1;R$ 145,00
16/05/2024;Bolo de Festa40 Corte Abacaxi Coco;1;R$ 140,00
16/05/2024;Bolo da Tarde Mesclado;1;R$ 20,00
16/05/2024;Bolo de Festa15 Pequeno Ninho;1;R$ 85,00
17/05/2024;Cupcake (Sabores);3;R$ 18,00
18/05/2024;Bolo da Tarde Coco;1;R$ 20,00
20/05/2024;Docinhos Gourmet Moranguinho cento;1;R$ 90,00
21/05/2024;Bolo de Festa15 Gourmet Pequeno (Sabores);1;R$ 120,00
22/05/2024;Bolo de Festa60 Grande Ninho;1;R$ 240,00
22/05/2024;Bolo da Tarde Mesclado;2;R$ 40,00
23/05/2024;Bolo da Tarde Coco;1;R$ 20,00
23/05/2024;Docinhos Gourmet Sensacao cento;1;R$ 90,00
27/05/2024;Bolo de Festa40 Corte Gourmet (Sabores);1;R$ 170,00
27/05/2024;Bolo de Festa60 Corte Coco;1;R$ 85,00
27/05/2024;Bolo de Festa60 Medio Doce de Leite Coco;1;R$ 165,00
28/05/2024;Bolo de Festa25 Pequeno Abacaxi;1;R$ 145,00
28/05/2024;Bolo de Festa15 Pequeno Coco;1;R$ 85,00
29/05/2024;Docinhos Gourmet Moranguinho cento;1;R$ 90,00
29/05/2024;Bolo de Festa60 Medio Doce de Leite;1;R$ 165,00
30/05/2024;Bolo de Festa40 Corte  Doce de Leite;1;R$ 140,00
30/05/2024;Bolo de Festa40 Corte  Abacaxi;1;R$ 140,00
30/05/2024;Bolo de Festa100 Corte  Doce de Leite;1;R$ 185,00
03/06/2024;Bolo de Festa60 Medio Coco;1;R$ 165,00
04/06/2024;Bolo de Festa15 Pequeno Abacaxi;1;R$ 85,00
04/06/2024;Bolo de Festa60 Grande Amendoim;1;R$ 240,00
04/06/2024;Bolo de Festa60 Medio Cajuzinho;1;R$ 165,00
05/06/2024;Bolo de Festa40 Corte  Doce de Leite;1;R$ 140,00
05/06/2024;Docinhos Beijinho Festa cento;1;R$ 80,00
05/06/2024;Docinhos Moranguinho Festa cento;1;R$ 80,00
06/06/2024;Bolo de Festa40 Corte Abacaxi Coco;1;R$ 140,00
06/06/2024;Bolo de Festa85 Corte  Chocolate;1;R$ 165,00
06/06/2024;Bolo de Festa35 Medio Cajuzinho;1;R$ 160,00
10/06/2024;Docinhos Brigadeiro Branco Festa cento;1;R$ 80,00
10/06/2024;Bolo de Festa100 Grande Chocolate;1;R$ 260,00
11/06/2024;Bolo de Festa25 Pequeno Coco;1;R$ 145,00
12/06/2024;Docinhos Brigadeiro Festa cento;1;R$ 80,00
12/06/2024;Docinhos Gourmet Choconinho cento;1;R$ 90,00
12/06/2024;Bolo de Festa25 Pequeno Ninho;1;R$ 145,00
12/06/2024;Docinhos Moranguinho Festa cento;1;R$ 80,00
13/06/2024;Bolo de Festa25 Pequeno Chocolate;1;R$ 145,00
17/06/2024;Docinhos Brigadeiro Festa cento;1;R$ 80,00
17/06/2024;Bolo de Festa60 Corte Amendoim;1;R$ 85,00
17/06/2024;Bolo da Tarde Banana;1;R$ 20,00
18/06/2024;Docinhos Fondados Nozes cento;1;R$ 100,00
18/06/2024;Bolo de Festa100 Grande Coco;1;R$ 260,00
18/06/2024;Docinhos Gourmet Prestigio cento;1;R$ 90,00
18/06/2024;Bolo de Festa60 Medio Chocolate;1;R$ 165,00
19/06/2024;Docinhos Fondados Nozes cento;1;R$ 100,00
19/06/2024;Bolo de Festa15 Pequeno Ninho Chocolate;1;R$ 85,00
20/06/2024;Bolo de Festa60 Grande Cajuzinho;1;R$ 240,00
20/06/2024;Bolo de Festa15 Pequeno Abacaxi;1;R$ 85,00
24/06/2024;Cupcake Mini (Sabores);4;R$ 12,00
25/06/2024;Bolo de Festa25 Gourmet Pequeno (Sabores);1;R$ 170,00
25/06/2024;Docinhos Gourmet Prestigio cento;1;R$ 90,00
26/06/2024;Bolo de Festa60 Medio Abacaxi Coco;1;R$ 165,00
26/06/2024;Torta Salgada Festa Grande;1;R$ 165,00
26/06/2024;Bolo de Festa60 Corte Coco;1;R$ 85,00
27/06/2024;Bolo de Festa15 Abacaxi;1;R$ 85,00
27/06/2024;Bolo da Tarde Cenoura;1;R$ 20,00
27/06/2024;Bolo de Festa60 Corte Gourmet (Sabores);1;R$ 165,00
27/06/2024;Bolo de Festa35 Medio Coco;1;R$ 160,00
01/07/2024;Bolo de Festa60 Medio Doce de Leite;1;R$ 165,00
01/07/2024;Bolo de Festa15 Pequeno Chocolate;1;R$ 85,00
01/07/2024;Bolo de Festa100 Corte  Abacaxi;1;R$ 185,00
01/07/2024;Bolo de Festa35 Medio Doce de Leite Coco;1;R$ 160,00
02/07/2024;Bolo de Festa60 Medio Amendoim;1;R$ 165,00
02/07/2024;Docinhos Gourmet Casadinho cento;1;R$ 90,00
02/07/2024;Bolo de Festa35 Corte  Abacaxi;1;R$ 140,00
03/07/2024;Bolo de Festa35 Medio Amendoim;1;R$ 160,00
04/07/2024;Cupcake Mini (Sabores);3;R$ 9,00
08/07/2024;Bolo de Festa60 Corte Ninho Chocolate;1;R$ 85,00
08/07/2024;Bolo da Tarde Chocolate;1;R$ 20,00
08/07/2024;Bolo da Tarde Cocada;1;R$ 20,00
08/07/2024;Cupcake Mini (Sabores);4;R$ 12,00
09/07/2024;Bolo de Festa60 Corte Gourmet (Sabores);1;R$ 165,00
09/07/2024;Bolo de Festa25 Pequeno Amendoim;1;R$ 145,00
09/07/2024;Docinhos Fondados Coco cento;1;R$ 100,00
10/07/2024;Docinhos Beijinho Festa cento;1;R$ 80,00
10/07/2024;Bolo de Festa35 Medio Coco;1;R$ 160,00
10/07/2024;Bolo de Festa35 Medio Cajuzinho;1;R$ 160,00
11/07/2024;Bolo da Tarde Banana;2;R$ 40,00
11/07/2024;Docinhos Brigadeiro Festa cento;1;R$ 80,00
11/07/2024;Bolo de Festa35 Medio Ninho Chocolate;1;R$ 160,00
11/07/2024;Bolo de Festa40 Corte  Amendoim;1;R$ 140,00
15/07/2024;KIT Adulto Festa2;1;R$ 170,00
15/07/2024;Bolo da Tarde Mesclado;1;R$ 20,00
16/07/2024;Bolo de Festa15 Pequeno Ninho;1;R$ 85,00
17/07/2024;Bolo da Tarde Milho;1;R$ 20,00
17/07/2024;Bolo de Festa25 Pequeno Cajuzinho;1;R$ 145,00
17/07/2024;Torta Salgada Festa Pequena;1;R$ 150,00
17/07/2024;Bolo de Festa60 Corte  Doce de Leite Coco;1;R$ 85,00
18/07/2024;Bolo da Tarde Milho;1;R$ 20,00
18/07/2024;Bolo de Festa60 Corte Gourmet (Sabores);1;R$ 165,00
18/07/2024;Cupcake Mini (Sabores);4;R$ 12,00
18/07/2024;Bolo da Tarde Prestigio;2;R$ 40,00
22/07/2024;Bolo de Festa40 Corte Abacaxi Coco;1;R$ 140,00
22/07/2024;Bolo de Festa25 Pequeno Chocolate;1;R$ 145,00
22/07/2024;Bolo de Festa40 Corte  Cajuzinho;1;R$ 140,00
23/07/2024;Docinhos Cajuzinho Festa cento;1;R$ 80,00
23/07/2024;Bolo de Festa35 Medio Doce de Leite;1;R$ 160,00
23/07/2024;Bolo de Festa25 Pequeno Ninho;1;R$ 145,00
23/07/2024;Bolo de Festa85 Corte Coco;1;R$ 165,00
24/07/2024;Cupcake Mini (Sabores);2;R$ 6,00
24/07/2024;Bolo de Festa35 Medio Doce de Leite;1;R$ 160,00
25/07/2024;Bolo de Festa85 Corte  Doce de Leite Coco;1;R$ 165,00
29/07/2024;Docinhos Casadinho Festa cento;1;R$ 80,00
30/07/2024;KIT Adulto Festa2;1;R$ 170,00
30/07/2024;Docinhos Cajuzinho Festa cento;1;R$ 80,00
30/07/2024;Cupcake Mini (Sabores);4;R$ 12,00
31/07/2024;Bolo de Festa60 Medio Doce de Leite;1;R$ 165,00
31/07/2024;Bolo de Festa15 Pequeno Coco;1;R$ 85,00
01/08/2024;Bolo de Festa85 Corte Coco;1;R$ 165,00
03/08/2024;Cupcake Mini (Sabores);1;R$ 3,00
04/08/2024;Bolo de Festa15 Pequeno Doce de Leite;1;R$ 85,00
05/08/2024;Bolo de Festa85 Corte Coco;1;R$ 165,00
05/08/2024;Docinhos Casadinho Festa cento;1;R$ 80,00
06/08/2024;Docinhos Cajuzinho Festa cento;1;R$ 80,00
07/08/2024;Cupcake Mini (Sabores);4;R$ 12,00
08/08/2024;Bolo de Festa60 Medio Abacaxi;1;R$ 165,00
08/08/2024;Bolo de Festa15 Pequeno Chocolate;1;R$ 85,00
01/09/2024;Docinhos Pacoca Festa cento;1;R$ 85,00
